RID,DESIGN_ROW,SCENARIO,SEQ,pref1,a1_x1,a1_x2,a1_x3,a1_x4,a2_x1,a2_x2,a2_x3,a2_x4,a3_x1,a3_x2,a3_x3,a3_x4
245710,6,2,2,1,2,3,1,2,3,1,2,3,1,1,1,1
245710,16,1,1,2,2,3,3,6,3,1,1,1,1,1,1,1
245710,10,4,4,3,2,2,1,4,3,3,2,5,1,1,1,1
245710,14,6,6,3,1,3,1,5,2,1,2,6,1,1,1,1
245710,13,3,3,3,3,2,3,5,1,3,1,6,1,1,1,1
245710,9,5,5,3,3,2,1,3,1,3,2,4,1,1,1,1
245710,17,7,7,2,3,1,1,6,1,2,2,1,1,1,1,1
245710,3,8,8,1,3,3,3,1,1,1,1,2,1,1,1,1
245710,12,9,9,3,1,1,3,4,2,2,1,5,1,1,1,1
250439,5,9,9,3,1,2,3,2,2,3,1,3,1,1,1,1
250439,11,7,7,1,3,3,2,4,1,1,3,5,1,1,1,1
250439,2,8,8,2,2,2,2,1,3,3,3,2,1,1,1,1
250439,18,5,5,2,1,2,2,6,2,3,3,1,1,1,1,1
250439,1,3,3,1,1,1,1,1,2,2,2,2,1,1,1,1
250439,4,6,6,1,3,1,2,2,1,2,3,3,1,1,1,1
250439,7,1,1,1,1,3,2,3,2,1,3,4,1,1,1,1
250439,8,4,4,2,2,1,3,3,3,2,1,4,1,1,1,1
250439,15,2,2,1,2,1,2,5,3,2,3,6,1,1,1,1
250449,9,5,5,1,3,2,1,3,1,3,2,4,1,1,1,1
250449,4,7,7,1,3,1,2,2,1,2,3,3,1,1,1,1
250449,5,8,8,2,1,2,3,2,2,3,1,3,1,1,1,1
250449,14,9,9,3,1,3,1,5,2,1,2,6,1,1,1,1
250449,1,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1
250449,11,4,4,1,3,3,2,4,1,1,3,5,1,1,1,1
250449,3,1,1,2,3,3,3,1,1,1,1,2,1,1,1,1
250449,13,6,6,3,3,2,3,5,1,3,1,6,1,1,1,1
250449,18,3,3,2,1,2,2,6,2,3,3,1,1,1,1,1
250514,10,6,6,3,2,2,1,4,3,3,2,5,1,1,1,1
250514,17,3,3,2,3,1,1,6,1,2,2,1,1,1,1,1
250514,8,2,2,3,2,1,3,3,3,2,1,4,1,1,1,1
250514,16,4,4,2,2,3,3,6,3,1,1,1,1,1,1,1
250514,2,1,1,1,2,2,2,1,3,3,3,2,1,1,1,1
250514,12,7,7,3,1,1,3,4,2,2,1,5,1,1,1,1
250514,6,8,8,1,2,3,1,2,3,1,2,3,1,1,1,1
250514,15,9,9,3,2,1,2,5,3,2,3,6,1,1,1,1
250514,7,5,5,1,1,3,2,3,2,1,3,4,1,1,1,1
250552,9,2,2,2,3,2,1,3,1,3,2,4,1,1,1,1
250552,15,4,4,3,2,1,2,5,3,2,3,6,1,1,1,1
250552,10,1,1,1,2,2,1,4,3,3,2,5,1,1,1,1
250552,13,6,6,3,3,2,3,5,1,3,1,6,1,1,1,1
250552,17,3,3,2,3,1,1,6,1,2,2,1,1,1,1,1
250552,7,5,5,1,1,3,2,3,2,1,3,4,1,1,1,1
250552,8,8,8,2,2,1,3,3,3,2,1,4,1,1,1,1
250552,5,7,7,2,1,2,3,2,2,3,1,3,1,1,1,1
250552,11,9,9,1,3,3,2,4,1,1,3,5,1,1,1,1
253435,7,5,5,3,1,3,2,3,2,1,3,4,1,1,1,1
253435,6,7,7,1,2,3,1,2,3,1,2,3,1,1,1,1
253435,15,8,8,3,2,1,2,5,3,2,3,6,1,1,1,1
253435,9,9,9,3,3,2,1,3,1,3,2,4,1,1,1,1
253435,10,2,2,3,2,2,1,4,3,3,2,5,1,1,1,1
253435,17,1,1,2,3,1,1,6,1,2,2,1,1,1,1,1
253435,14,4,4,3,1,3,1,5,2,1,2,6,1,1,1,1
253435,2,6,6,1,2,2,2,1,3,3,3,2,1,1,1,1
253435,5,3,3,3,1,2,3,2,2,3,1,3,1,1,1,1
253515,8,5,5,2,2,1,3,3,3,2,1,4,1,1,1,1
253515,18,7,7,2,1,2,2,6,2,3,3,1,1,1,1,1
253515,3,8,8,1,3,3,3,1,1,1,1,2,1,1,1,1
253515,16,9,9,2,2,3,3,6,3,1,1,1,1,1,1,1
253515,1,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1
253515,4,4,4,2,3,1,2,2,1,2,3,3,1,1,1,1
253515,11,1,1,1,3,3,2,4,1,1,3,5,1,1,1,1
253515,12,6,6,2,1,1,3,4,2,2,1,5,1,1,1,1
253515,13,3,3,1,3,2,3,5,1,3,1,6,1,1,1,1
253525,2,5,5,1,2,2,2,1,3,3,3,2,1,1,1,1
253525,15,9,9,3,2,1,2,5,3,2,3,6,1,1,1,1
253525,1,8,8,3,1,1,1,1,2,2,2,2,1,1,1,1
253525,6,7,7,1,2,3,1,2,3,1,2,3,1,1,1,1
253525,3,4,4,3,3,3,3,1,1,1,1,2,1,1,1,1
253525,4,1,1,1,3,1,2,2,1,2,3,3,1,1,1,1
253525,5,2,2,3,1,2,3,2,2,3,1,3,1,1,1,1
253525,13,3,3,3,3,2,3,5,1,3,1,6,1,1,1,1
253525,17,6,6,3,3,1,1,6,1,2,2,1,1,1,1,1
254224,10,7,7,3,2,2,1,4,3,3,2,5,1,1,1,1
254224,18,8,8,2,1,2,2,6,2,3,3,1,1,1,1,1
254224,12,9,9,3,1,1,3,4,2,2,1,5,1,1,1,1
254224,9,5,5,1,3,2,1,3,1,3,2,4,1,1,1,1
254224,16,6,6,2,2,3,3,6,3,1,1,1,1,1,1,1
254224,14,3,3,3,1,3,1,5,2,1,2,6,1,1,1,1
254224,8,2,2,3,2,1,3,3,3,2,1,4,1,1,1,1
254224,11,4,4,3,3,3,2,4,1,1,3,5,1,1,1,1
254224,7,1,1,1,1,3,2,3,2,1,3,4,1,1,1,1
254244,6,7,7,1,2,3,1,2,3,1,2,3,1,1,1,1
254244,1,8,8,2,1,1,1,1,2,2,2,2,1,1,1,1
254244,7,9,9,1,1,3,2,3,2,1,3,4,1,1,1,1
254244,17,5,5,2,3,1,1,6,1,2,2,1,1,1,1,1
254244,14,6,6,3,1,3,1,5,2,1,2,6,1,1,1,1
254244,8,3,3,1,2,1,3,3,3,2,1,4,1,1,1,1
254244,18,2,2,2,1,2,2,6,2,3,3,1,1,1,1,1
254244,11,4,4,1,3,3,2,4,1,1,3,5,1,1,1,1
254244,16,1,1,2,2,3,3,6,3,1,1,1,1,1,1,1
254511,4,5,5,1,3,1,2,2,1,2,3,3,1,1,1,1
254511,5,7,7,2,1,2,3,2,2,3,1,3,1,1,1,1
254511,2,8,8,1,2,2,2,1,3,3,3,2,1,1,1,1
254511,10,9,9,2,2,2,1,4,3,3,2,5,1,1,1,1
254511,3,2,2,1,3,3,3,1,1,1,1,2,1,1,1,1
