RID,DESIGN_ROW,SCENARIO,SEQ,pref1,a1_x1,a1_x2,a1_x3,a1_x4,a2_x1,a2_x2,a2_x3,a2_x4,a3_x1,a3_x2,a3_x3,a3_x4
234992,6,9,9,1,3,1,2,2,1,2,3,3,1,1,1,1
234992,8,1,1,3,1,3,2,3,2,1,3,4,1,1,1,1
234992,9,7,7,3,2,1,3,3,3,2,1,4,1,1,1,1
234992,11,8,8,3,3,2,3,4,1,3,1,5,1,1,1,1
234992,16,5,5,3,3,3,2,6,1,1,3,1,1,1,1,1
234992,2,2,2,2,2,2,2,1,3,3,3,2,1,1,1,1
234992,7,3,3,3,3,2,1,3,1,3,2,4,1,1,1,1
234992,5,4,4,3,2,3,1,2,3,1,2,3,1,1,1,1
234992,12,6,6,3,1,3,1,4,2,1,2,5,1,1,1,1
235006,10,4,4,2,2,1,2,4,3,2,3,5,1,1,1,1
235006,7,3,3,1,3,2,1,3,1,3,2,4,1,1,1,1
235006,9,5,5,2,2,1,3,3,3,2,1,4,1,1,1,1
235006,17,8,8,2,1,1,3,6,2,2,1,1,1,1,1,1
235006,16,2,2,1,3,3,2,6,1,1,3,1,1,1,1,1
235006,11,9,9,1,3,2,3,4,1,3,1,5,1,1,1,1
235006,14,1,1,1,3,1,1,5,1,2,2,6,1,1,1,1
235006,2,7,7,1,2,2,2,1,3,3,3,2,1,1,1,1
235006,12,6,6,2,1,3,1,4,2,1,2,5,1,1,1,1
230934,2,4,4,2,2,2,2,1,3,3,3,2,1,1,1,1
230934,6,3,3,3,3,1,2,2,1,2,3,3,1,1,1,1
230934,17,8,8,2,1,1,3,6,2,2,1,1,1,1,1,1
230934,8,5,5,2,1,3,2,3,2,1,3,4,1,1,1,1
230934,18,2,2,3,2,2,1,6,3,3,2,1,1,1,1,1
230934,7,1,1,3,3,2,1,3,1,3,2,4,1,1,1,1
230934,16,9,9,1,3,3,2,6,1,1,3,1,1,1,1,1
230934,15,7,7,2,1,2,2,5,2,3,3,6,1,1,1,1
230934,3,6,6,2,3,3,3,1,1,1,1,2,1,1,1,1
230935,13,6,6,3,2,3,3,5,3,1,1,6,1,1,1,1
230935,11,3,3,3,3,2,3,4,1,3,1,5,1,1,1,1
230935,5,4,4,3,2,3,1,2,3,1,2,3,1,1,1,1
230935,4,1,1,3,1,2,3,2,2,3,1,3,1,1,1,1
230935,9,9,9,3,2,1,3,3,3,2,1,4,1,1,1,1
230935,14,7,7,3,3,1,1,5,1,2,2,6,1,1,1,1
230935,10,5,5,3,2,1,2,4,3,2,3,5,1,1,1,1
230935,1,8,8,3,1,1,1,1,2,2,2,2,1,1,1,1
230935,12,2,2,3,1,3,1,4,2,1,2,5,1,1,1,1
230940,3,2,2,1,3,3,3,1,1,1,1,2,1,1,1,1
230940,8,5,5,2,1,3,2,3,2,1,3,4,1,1,1,1
230940,12,8,8,2,1,3,1,4,2,1,2,5,1,1,1,1
230940,17,7,7,1,1,1,3,6,2,2,1,1,1,1,1,1
230940,4,9,9,2,1,2,3,2,2,3,1,3,1,1,1,1
230940,11,1,1,3,3,2,3,4,1,3,1,5,1,1,1,1
230940,9,4,4,2,2,1,3,3,3,2,1,4,1,1,1,1
230940,10,3,3,2,2,1,2,4,3,2,3,5,1,1,1,1
230940,15,6,6,1,1,2,2,5,2,3,3,6,1,1,1,1
235061,15,1,1,1,1,2,2,5,2,3,3,6,1,1,1,1
235061,5,9,9,1,2,3,1,2,3,1,2,3,1,1,1,1
235061,14,7,7,2,3,1,1,5,1,2,2,6,1,1,1,1
235061,17,8,8,2,1,1,3,6,2,2,1,1,1,1,1,1
235061,18,5,5,2,2,2,1,6,3,3,2,1,1,1,1,1
235061,1,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1
235061,3,3,3,1,3,3,3,1,1,1,1,2,1,1,1,1
235061,13,4,4,1,2,3,3,5,3,1,1,6,1,1,1,1
235061,4,6,6,2,1,2,3,2,2,3,1,3,1,1,1,1
235260,10,1,1,2,2,1,2,4,3,2,3,5,1,1,1,1
235260,3,9,9,2,3,3,3,1,1,1,1,2,1,1,1,1
235260,18,7,7,2,2,2,1,6,3,3,2,1,1,1,1,1
235260,1,8,8,2,1,1,1,1,2,2,2,2,1,1,1,1
235260,4,5,5,2,1,2,3,2,2,3,1,3,1,1,1,1
235260,13,2,2,2,2,3,3,5,3,1,1,6,1,1,1,1
235260,15,3,3,2,1,2,2,5,2,3,3,6,1,1,1,1
235260,6,4,4,2,3,1,2,2,1,2,3,3,1,1,1,1
235260,8,6,6,2,1,3,2,3,2,1,3,4,1,1,1,1
235520,18,6,6,3,2,2,1,6,3,3,2,1,1,1,1,1
235520,5,5,5,3,2,3,1,2,3,1,2,3,1,1,1,1
235520,16,8,8,3,3,3,2,6,1,1,3,1,1,1,1,1
235520,4,2,2,3,1,2,3,2,2,3,1,3,1,1,1,1
235520,17,9,9,3,1,1,3,6,2,2,1,1,1,1,1,1
235520,12,1,1,3,1,3,1,4,2,1,2,5,1,1,1,1
235520,10,7,7,3,2,1,2,4,3,2,3,5,1,1,1,1
235520,2,4,4,3,2,2,2,1,3,3,3,2,1,1,1,1
235520,15,3,3,3,1,2,2,5,2,3,3,6,1,1,1,1
236028,3,3,3,2,3,3,3,1,1,1,1,2,1,1,1,1
236028,7,4,4,1,3,2,1,3,1,3,2,4,1,1,1,1
236028,13,7,7,3,2,3,3,5,3,1,1,6,1,1,1,1
236028,1,1,1,2,1,1,1,1,2,2,2,2,1,1,1,1
236028,11,9,9,3,3,2,3,4,1,3,1,5,1,1,1,1
236028,8,2,2,2,1,3,2,3,2,1,3,4,1,1,1,1
236028,14,8,8,3,3,1,1,5,1,2,2,6,1,1,1,1
236028,9,5,5,1,2,1,3,3,3,2,1,4,1,1,1,1
236028,6,6,6,1,3,1,2,2,1,2,3,3,1,1,1,1
238691,16,4,4,3,3,3,2,6,1,1,3,1,1,1,1,1
238691,1,3,3,3,1,1,1,1,2,2,2,2,1,1,1,1
238691,10,8,8,3,2,1,2,4,3,2,3,5,1,1,1,1
238691,9,5,5,3,2,1,3,3,3,2,1,4,1,1,1,1
238691,6,2,2,1,3,1,2,2,1,2,3,3,1,1,1,1
238691,8,9,9,3,1,3,2,3,2,1,3,4,1,1,1,1
238691,5,1,1,1,2,3,1,2,3,1,2,3,1,1,1,1
238691,4,7,7,2,1,2,3,2,2,3,1,3,1,1,1,1
238691,14,6,6,3,3,1,1,5,1,2,2,6,1,1,1,1
250293,4,4,4,2,1,2,3,2,2,3,1,3,1,1,1,1
250293,15,9,9,3,1,2,2,5,2,3,3,6,1,1,1,1
250293,13,6,6,3,2,3,3,5,3,1,1,6,1,1,1,1
250293,16,7,7,3,3,3,2,6,1,1,3,1,1,1,1,1
250293,12,3,3,3,1,3,1,4,2,1,2,5,1,1,1,1
250293,11,8,8,3,3,2,3,4,1,3,1,5,1,1,1,1
250293,2,2,2,2,2,2,2,1,3,3,3,2,1,1,1,1
250293,7,5,5,1,3,2,1,3,1,3,2,4,1,1,1,1
250293,10,1,1,3,2,1,2,4,3,2,3,5,1,1,1,1
250296,18,3,3,2,2,2,1,6,3,3,2,1,1,1,1,1
250296,3,7,7,1,3,3,3,1,1,1,1,2,1,1,1,1
250296,17,6,6,2,1,1,3,6,2,2,1,1,1,1,1,1
250296,16,9,9,3,3,3,2,6,1,1,3,1,1,1,1,1
250296,6,4,4,1,3,1,2,2,1,2,3,3,1,1,1,1
250296,9,1,1,2,2,1,3,3,3,2,1,4,1,1,1,1
250296,8,5,5,1,1,3,2,3,2,1,3,4,1,1,1,1
250296,1,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1
250296,15,8,8,3,1,2,2,5,2,3,3,6,1,1,1,1
250298,8,6,6,1,1,3,2,3,2,1,3,4,1,1,1,1
250298,2,9,9,1,2,2,2,1,3,3,3,2,1,1,1,1
250298,12,7,7,3,1,3,1,4,2,1,2,5,1,1,1,1
250298,6,3,3,1,3,1,2,2,1,2,3,3,1,1,1,1
250298,18,4,4,2,2,2,1,6,3,3,2,1,1,1,1,1
250298,11,1,1,3,3,2,3,4,1,3,1,5,1,1,1,1
250298,13,5,5,3,2,3,3,5,3,1,1,6,1,1,1,1
250298,4,2,2,2,1,2,3,2,2,3,1,3,1,1,1,1
250298,5,8,8,1,2,3,1,2,3,1,2,3,1,1,1,1
250312,10,4,4,3,2,1,2,4,3,2,3,5,1,1,1,1
250312,7,7,7,1,3,2,1,3,1,3,2,4,1,1,1,1
250312,14,3,3,3,3,1,1,5,1,2,2,6,1,1,1,1
250312,9,6,6,1,2,1,3,3,3,2,1,4,1,1,1,1
250312,11,9,9,3,3,2,3,4,1,3,1,5,1,1,1,1
